side,rank_side,term,mean_tfidf_high,mean_tfidf_nonhigh,diff,doc_freq_high,doc_freq_nonhigh
高薪更突出,1,业务,0.1339780743734724,0.07492262495438651,0.05905544941908589,29,27
高薪更突出,2,商业,0.08569539306161932,0.026999719641646977,0.05869567341997234,23,17
高薪更突出,3,策略,0.06580255075151746,0.016250045743636036,0.04955250500788143,16,12
高薪更突出,4,产品,0.06140997434385961,0.016965541752035646,0.04444443259182396,14,9
高薪更突出,5,运营,0.04999056091677682,0.014916472520088184,0.03507408839668863,10,8
高薪更突出,6,为佳,0.03383156661118347,0.0,0.03383156661118347,3,0
高薪更突出,7,优化,0.0571128298108428,0.023664306762781608,0.03344852304806119,22,14
高薪更突出,8,评估,0.0398092784311845,0.010710248475549968,0.029099029955634535,13,7
高薪更突出,9,洞察,0.040179644459465806,0.011517223101806116,0.02866242135765969,19,8
高薪更突出,10,效果,0.03476848864494256,0.006476007437101552,0.028292481207841006,13,4
高薪更突出,11,互联网,0.03476627826717355,0.006736244628823046,0.028030033638350507,12,2
高薪更突出,12,持续,0.031345898940436163,0.003866196776377774,0.02747970216405839,12,3
高薪更突出,13,改进,0.02928436557047343,0.0019253315966044032,0.027359033973869025,9,2
高薪更突出,14,风控,0.02527727051442352,0.0,0.02527727051442352,4,0
高薪更突出,15,核心,0.03337326907003968,0.00937260752293206,0.02400066154710762,16,6
非高薪更突出,1,交易,0.004993996044122987,0.03581825706170546,-0.030824261017582472,2,3
非高薪更突出,2,数据处理,0.008388731585052978,0.03767346472662002,-0.02928473314156704,4,12
非高薪更突出,3,整理,0.016537164823443366,0.03719273713181961,-0.02065557230837624,7,14
非高薪更突出,4,会议,0.0,0.019514858617245504,-0.019514858617245504,0,4
非高薪更突出,5,研究,0.015294272206684239,0.03442139868287161,-0.019127126476187375,6,8
非高薪更突出,6,汇总,0.0,0.017711632713119527,-0.017711632713119527,0,5
非高薪更突出,7,维护,0.010159264874378873,0.027692871102259927,-0.017533606227881054,6,16
非高薪更突出,8,报表,0.006923308920211772,0.024059049303829266,-0.017135740383617495,4,10
非高薪更突出,9,基础,0.014346981859965517,0.030976505930092563,-0.016629524070127046,7,10
非高薪更突出,10,统计,0.019342322495378515,0.03587624628466812,-0.01653392378928961,9,12
非高薪更突出,11,战略,0.0021318760521273103,0.018545019354385954,-0.016413143302258643,1,7
非高薪更突出,12,and,0.0,0.014721578429481286,-0.014721578429481286,0,1
非高薪更突出,13,各种类型,0.0,0.014646090851039267,-0.014646090851039267,0,3
非高薪更突出,14,技能,0.0025654778687944826,0.01691985959408113,-0.014354381725286648,1,9
非高薪更突出,15,创新,0.0049772357638501186,0.01922872692823669,-0.014251491164386572,3,5
