is_high_salary,salary_group,keyword,count,group_total,rate_in_group
1,高薪岗位,数据分析师,72,267,0.2697
1,高薪岗位,BI分析师,44,267,0.1648
1,高薪岗位,用户分析师,40,267,0.1498
1,高薪岗位,商业分析师,33,267,0.1236
1,高薪岗位,经营分析师,27,267,0.1011
1,高薪岗位,商业智能分析师,21,267,0.0787
1,高薪岗位,运营分析师,19,267,0.0712
1,高薪岗位,商务分析师,7,267,0.0262
1,高薪岗位,数据运营分析师,3,267,0.0112
1,高薪岗位,数据分析实习生,1,267,0.0037
0,非高薪岗位,数据分析师,217,759,0.2859
0,非高薪岗位,BI分析师,92,759,0.1212
0,非高薪岗位,经营分析师,89,759,0.1173
0,非高薪岗位,用户分析师,83,759,0.1094
0,非高薪岗位,商务分析师,68,759,0.0896
0,非高薪岗位,数据运营分析师,68,759,0.0896
0,非高薪岗位,运营分析师,49,759,0.0646
0,非高薪岗位,商业分析师,46,759,0.0606
0,非高薪岗位,商业智能分析师,38,759,0.0501
0,非高薪岗位,数据分析实习生,9,759,0.0119
