is_high_salary,keyword_model,degree_group,experience_group,city_tier,company_size_model,skill_sql,skill_python,skill_excel,skill_tableau,skill_power_bi,skill_data_modeling,skill_machine_learning,skill_data_warehouse,skill_etl
0,数据分析师,本科,不限,新一线,微型或小型,1,1,1,0,0,0,0,0,0
1,数据分析师,本科,5年以上,一线,中型,1,1,0,0,0,0,0,0,0
0,数据分析师,硕士及以上,不限,其他,大型,1,1,0,0,0,0,0,0,0
0,数据分析师,硕士及以上,不限,一线,微型或小型,0,0,0,0,0,0,0,0,0
1,数据分析师,本科,5年以上,一线,中型,1,1,0,0,0,0,0,0,0
0,数据分析师,本科,不限,一线,微型或小型,1,1,0,1,1,0,0,1,0
0,数据分析师,硕士及以上,不限,其他,超大型,0,1,0,0,0,0,0,0,0
0,数据分析师,本科,1-3年,一线,中型,0,1,0,0,0,0,0,0,0
1,数据分析师,硕士及以上,不限,一线,微型或小型,0,1,0,0,0,1,0,0,0
0,数据分析师,本科,1-3年,新一线,微型或小型,0,0,1,0,0,0,0,0,0
0,数据分析师,本科,1-3年,一线,中型,1,1,0,0,0,1,1,0,0
0,数据分析师,本科,3-5年,一线,超大型,0,0,1,1,1,0,0,0,0
0,数据分析师,本科,不限,新一线,中型,1,0,1,1,0,0,0,0,0
1,数据分析师,本科,3-5年,其他,超大型,0,0,0,0,0,0,0,0,0
1,数据分析师,本科,1-3年,一线,超大型,1,1,0,1,0,0,0,0,0
0,数据分析师,本科,1-3年,新一线,微型或小型,0,0,1,0,0,0,0,0,0
0,数据分析师,本科,5年以上,新一线,超大型,1,1,0,0,0,0,0,0,0
0,数据分析师,硕士及以上,1-3年,新一线,超大型,1,1,0,0,0,0,0,0,0
1,数据分析师,硕士及以上,5年以上,其他,超大型,1,1,0,0,0,0,1,0,0
0,数据分析师,本科,5年以上,一线,中型,0,0,0,0,0,0,0,0,0
1,数据分析师,本科,3-5年,新一线,中型,1,1,0,0,0,1,1,1,1
0,数据分析师,硕士及以上,1-3年,新一线,超大型,1,1,0,0,0,0,0,0,0
0,数据分析师,本科,不限,一线,超大型,1,1,0,0,0,0,0,0,0
0,数据分析师,本科,3-5年,其他,大型,0,0,0,0,0,0,0,0,0
0,数据分析师,本科,1-3年,一线,超大型,1,1,0,1,0,0,0,0,0
0,数据分析师,本科,3-5年,一线,中型,0,0,0,1,1,0,0,0,0
0,数据分析师,本科,3-5年,新一线,超大型,0,0,0,0,0,0,1,0,0
0,数据分析师,硕士及以上,1-3年,新一线,超大型,1,1,0,0,0,0,0,0,0
0,数据分析师,本科,3-5年,新一线,大型,1,1,1,1,1,0,0,0,0
1,数据分析师,大专,1-3年,一线,微型或小型,0,0,0,0,0,0,0,0,0
0,数据分析师,本科,3-5年,新一线,超大型,1,0,1,0,0,0,0,0,0
0,数据分析师,本科,1-3年,一线,超大型,1,0,1,0,0,0,1,0,0
1,数据分析师,大专,1-3年,一线,微型或小型,0,0,0,0,0,0,0,0,0
1,商业分析师,本科,不限,一线,超大型,1,0,0,0,0,0,0,0,0
0,商业分析师,本科,3-5年,一线,超大型,0,0,1,0,0,0,0,0,0
0,商业分析师,本科,1-3年,一线,大型,1,1,0,1,0,0,0,0,0
0,商业分析师,本科,不限,其他,中型,0,0,0,0,0,0,0,0,0
0,商业分析师,大专,3-5年,其他,微型或小型,0,0,1,0,0,0,0,0,0
1,商业分析师,本科,不限,一线,中型,1,1,1,0,0,0,0,0,0
0,商业分析师,本科,1-3年,新一线,大型,0,0,1,1,1,0,0,0,0
1,商业分析师,本科,1-3年,一线,中型,1,1,0,1,1,0,0,0,0
0,商业分析师,本科,1-3年,新一线,大型,0,0,1,1,1,0,0,0,0
1,商业分析师,本科,1-3年,一线,中型,1,0,1,1,1,0,0,0,0
1,商业分析师,本科,3-5年,一线,超大型,1,1,1,0,0,0,0,0,0
0,商业分析师,硕士及以上,不限,一线,中型,0,0,0,0,0,0,0,0,0
1,商业分析师,本科,3-5年,一线,超大型,1,1,1,0,0,0,0,0,0
1,商业分析师,本科,5年以上,一线,超大型,0,0,0,0,0,0,0,0,0
1,商业分析师,本科,1-3年,一线,超大型,1,1,1,0,1,0,0,0,0
1,商业分析师,本科,3-5年,一线,超大型,1,0,1,0,0,0,0,0,0
1,商业分析师,本科,3-5年,一线,超大型,0,0,0,0,0,0,0,0,0
