is_high_salary,salary_group,skill_col,count,group_total,rate_in_group
1,高薪岗位,skill_sql,163,267,0.6105
1,高薪岗位,skill_python,142,267,0.5318
1,高薪岗位,skill_excel,85,267,0.3184
1,高薪岗位,skill_tableau,78,267,0.2921
1,高薪岗位,skill_power_bi,67,267,0.2509
1,高薪岗位,skill_machine_learning,52,267,0.1948
1,高薪岗位,skill_data_modeling,35,267,0.1311
1,高薪岗位,skill_data_warehouse,26,267,0.0974
1,高薪岗位,skill_etl,15,267,0.0562
0,非高薪岗位,skill_excel,324,759,0.4269
0,非高薪岗位,skill_sql,306,759,0.4032
0,非高薪岗位,skill_python,246,759,0.3241
0,非高薪岗位,skill_tableau,133,759,0.1752
0,非高薪岗位,skill_power_bi,125,759,0.1647
0,非高薪岗位,skill_machine_learning,71,759,0.0935
0,非高薪岗位,skill_data_modeling,49,759,0.0646
0,非高薪岗位,skill_data_warehouse,40,759,0.0527
0,非高薪岗位,skill_etl,30,759,0.0395
