term,coef,std_err,z_value,p_value,conf_low,conf_high
Intercept,-3.7255486829370152,0.385222594500718,-9.671158276075811,3.99826915563137e-22,-4.4805710941895,-2.9705262716845304
"C(keyword_model, Treatment(reference='数据分析师'))[T.BI分析师]",0.14138315377529762,0.307363895249093,0.45998621165546544,0.6455261175380475,-0.46103901106086653,0.7438053186114618
"C(keyword_model, Treatment(reference='数据分析师'))[T.其他分析岗位]",-0.30725838907803826,0.26406472386661795,-1.163572265840544,0.24459739623338816,-0.8248157374441238,0.21029895928804732
"C(keyword_model, Treatment(reference='数据分析师'))[T.商业分析师]",0.8757371142594788,0.35455413497016375,2.4699672853432477,0.013512540895295065,0.18082377914820447,1.5706504493707532
"C(keyword_model, Treatment(reference='数据分析师'))[T.用户分析师]",0.277964704673534,0.30046781613862483,0.9251064165397711,0.3549105557149306,-0.3109413934715735,0.8668708028186416
"C(keyword_model, Treatment(reference='数据分析师'))[T.经营分析师]",-0.04096243616308579,0.32419438278484325,-0.1263514679409827,0.899453717145853,-0.6763717504115707,0.5944468780853991
"C(degree_group, Treatment(reference='本科'))[T.不限]",0.22625743175088142,0.6252799641729156,0.36184980283217894,0.7174642730537613,-0.9992687782825285,1.4517836417842913
"C(degree_group, Treatment(reference='本科'))[T.大专]",-1.300147827574482,0.3717797064054055,-3.497091974559638,0.0004703596354619294,-2.028822662311952,-0.571472992837012
"C(degree_group, Treatment(reference='本科'))[T.硕士及以上]",1.2750726257843823,0.3274775114354726,3.893618893691964,9.875976413031528e-05,0.6332284976240523,1.9169167539447123
"C(experience_group, Treatment(reference='1-3年'))[T.3-5年]",1.595673715688301,0.23478497336977477,6.796319597401123,1.07325549749673e-11,1.1355036237723466,2.0558438076042553
"C(experience_group, Treatment(reference='1-3年'))[T.5年以上]",2.76646362550993,0.301483718658457,9.176162606127278,4.467275202345196e-20,2.175566395014148,3.357360856005712
"C(experience_group, Treatment(reference='1-3年'))[T.不限]",-0.18640019389964388,0.2803469541386283,-0.66489109707777,0.506120150494536,-0.7358701271868576,0.3630697393875698
"C(city_tier, Treatment(reference='其他'))[T.一线]",1.7566507400284668,0.23812240305370638,7.377091434913287,1.6178490515988558e-13,1.2899394061310716,2.2233620739258617
"C(city_tier, Treatment(reference='其他'))[T.新一线]",0.5056951881740829,0.24637133532353928,2.0525731514585286,0.04011399368427235,0.022816244116905082,0.9885741322312607
"C(company_size_model, Treatment(reference='微型或小型'))[T.中型]",0.42412907500021546,0.2754709145299232,1.5396510216839758,0.12364544151942168,-0.11578399626674551,0.9640421462671764
"C(company_size_model, Treatment(reference='微型或小型'))[T.大型]",-0.01131386915895308,0.4073462088972713,-0.02777457826250772,0.977841941746286,-0.8096977678365341,0.787070029518628
"C(company_size_model, Treatment(reference='微型或小型'))[T.超大型]",0.8767731351874719,0.2551965434215323,3.4356779423113997,0.0005910731595308893,0.3765971011021565,1.3769491692727873
skill_sql,0.46819171845321744,0.22469929720537632,2.0836367726833065,0.03719321945986157,0.02778918857921825,0.9085942483272167
skill_python,0.49055075617312177,0.21544545238187238,2.2769139508390794,0.022791364632011847,0.06828542887171268,0.9128160834745309
skill_excel,-0.4110798877992989,0.2051445285653817,-2.0038549927412928,0.04508559595342058,-0.8131557754128953,-0.00900400018570241
skill_tableau,0.4944493875715232,0.29036857672804045,1.702833664520886,0.0885992009100009,-0.07466256505759145,1.0635613402006379
skill_power_bi,-0.320199741318151,0.302412830601655,-1.0588166536489494,0.2896832877017016,-0.9129179977602072,0.27251851512390524
skill_data_modeling,0.11586049211507148,0.31397952753716574,0.3690065177939255,0.7121228665979957,-0.4995280737406755,0.7312490579708184
skill_machine_learning,0.4555595938738129,0.26813036751889896,1.699022748110406,0.08931489754162118,-0.06996626962471736,0.9810854573723431
skill_data_warehouse,0.0878202365127831,0.3868283557640817,0.22702636764907375,0.8204032390089383,-0.670349408983664,0.8459898820092303
skill_etl,-0.1820768373831856,0.46754225735441063,-0.3894339699120845,0.6969551470944251,-1.0984428230483876,0.7342891482820164
