rank,term,doc_freq,avg_weight,total_weight
1,数据,645,0.8073572847658042,520.7454486739437
2,分析,579,0.5847663031430799,338.5796895198432
3,业务,447,0.6017177715609896,268.96784388776234
4,运营,175,0.4997708684645755,87.45990198130072
5,优化,174,0.3579780346741867,62.28817803330849
6,项目,146,0.4577684230181991,66.83418976065707
7,用户,139,0.4919300691770168,68.37827961560534
8,管理,139,0.4562061354866708,63.41265283264725
9,行业,132,0.3924507641367595,51.803500866052254
10,统计学,127,0.37225701458981625,47.27664085290667
11,产品,124,0.4397756751811026,54.53218372245672
12,报告,124,0.3453072284660247,42.81809632978706
13,分析师,120,0.3728652196546783,44.74382635856139
14,指标,111,0.3707248671234252,41.15046025070019
15,报表,108,0.4189715529538134,45.248927719011846
16,经营,107,0.5162824740579441,55.24222472420002
17,策略,106,0.44521073045583626,47.192337428318645
18,计算机,104,0.3459896899861091,35.98292775855534
19,流程,103,0.35710286642639016,36.78159524191819
20,数学,101,0.31549546977604254,31.865042447380294
21,技术,99,0.38598101390426126,38.21212037652187
22,软件,95,0.40951711971571675,38.90412637299309
23,监控,95,0.34447599825127084,32.72521983387073
24,模型,93,0.4231387314256575,39.351902022586145
25,设计,91,0.3876418885334814,35.27541185654681
26,核心,89,0.334166245357381,29.740795836806907
27,系统,81,0.4142744663355146,33.556231773176684
28,财务,79,0.527707703546415,41.68890858016679
29,决策,78,0.34350864734581055,26.793674492973224
30,落地,76,0.3095022024853992,23.52216738889034
