rank,term,mean_tfidf
1,数据,0.1287423638733965
2,业务,0.08032684824395395
3,分析,0.07600965575911735
4,数据分析,0.06471935958228633
5,运营,0.03566748879980839
6,需求,0.034297442766641
7,用户,0.03298958213582105
8,项目,0.030332200636931785
9,经营,0.029741457207137324
10,优化,0.029067356583272766
11,产品,0.027560085636953283
12,管理,0.02617665575136794
13,分析师,0.025969741814049402
14,报告,0.025365261676043502
15,财务,0.024419249759985686
16,策略,0.024387809706642772
17,sql,0.02418454745772761
18,决策,0.023743344133308912
19,模型,0.02304956594397619
20,报表,0.022427308117815136
21,行业,0.022358559350253073
22,指标,0.022335167310526125
23,统计学,0.021979078987061914
24,开发,0.021616771970389012
25,设计,0.021426223460467676
26,技术,0.021385213020746828
27,推动,0.020783725595683377
28,python,0.020501872565408277
29,销售,0.020305098801256433
30,bi,0.020230919807595338
