topic_id,report_topic_id,topic_name,rank,term,weight
0,1,用户需求与产品系统主题,1,需求,428.52593601544254
0,1,用户需求与产品系统主题,2,项目,360.45354673573866
0,1,用户需求与产品系统主题,3,用户,300.94686950033855
0,1,用户需求与产品系统主题,4,产品,250.0004817262434
0,1,用户需求与产品系统主题,5,业务,223.77686593753285
0,1,用户需求与产品系统主题,6,设计,212.72238456073796
0,1,用户需求与产品系统主题,7,开发,211.83719672508735
0,1,用户需求与产品系统主题,8,数据分析,211.54107968440744
0,1,用户需求与产品系统主题,9,技术,165.63089578458556
0,1,用户需求与产品系统主题,10,客户,164.0047911587942
0,1,用户需求与产品系统主题,11,研究,151.7742822839477
0,1,用户需求与产品系统主题,12,数据库,150.84499506831497
0,1,用户需求与产品系统主题,13,系统,145.17779934399937
0,1,用户需求与产品系统主题,14,流程,115.8514987648408
0,1,用户需求与产品系统主题,15,管理,115.50439453774906
1,2,商业经营与策略洞察主题,1,业务,416.46969057914146
1,2,商业经营与策略洞察主题,2,策略,252.89739144137093
1,2,商业经营与策略洞察主题,3,商业,182.6033315135051
1,2,商业经营与策略洞察主题,4,经营,155.2596708004197
1,2,商业经营与策略洞察主题,5,行业,132.70307332308735
1,2,商业经营与策略洞察主题,6,用户,125.69063628518428
1,2,商业经营与策略洞察主题,7,服务,123.07866454997912
1,2,商业经营与策略洞察主题,8,美团,106.19882794273093
1,2,商业经营与策略洞察主题,9,核心,101.84760412737488
1,2,商业经营与策略洞察主题,10,目标,99.04043376202227
1,2,商业经营与策略洞察主题,11,洞察,95.32411339722623
1,2,商业经营与策略洞察主题,12,落地,94.87802152093337
1,2,商业经营与策略洞察主题,13,需求,91.84119657439774
1,2,商业经营与策略洞察主题,14,市场,85.0734171027704
1,2,商业经营与策略洞察主题,15,运营,82.78194007413246
2,3,统计报表与业务支持主题,1,统计,91.49326455029649
2,3,统计报表与业务支持主题,2,销售,88.32225462401401
2,3,统计报表与业务支持主题,3,薪资,81.78774089577396
2,3,统计报表与业务支持主题,4,报表,76.92749557049159
2,3,统计报表与业务支持主题,5,数据分析,75.8900426050115
2,3,统计报表与业务支持主题,6,excel,73.18010743631532
2,3,统计报表与业务支持主题,7,整理,64.90009670606281
2,3,统计报表与业务支持主题,8,时间,63.99902786225844
2,3,统计报表与业务支持主题,9,软件,62.272272598990305
2,3,统计报表与业务支持主题,10,定期,61.20488614636013
2,3,统计报表与业务支持主题,11,薪酬,59.18992520814028
2,3,统计报表与业务支持主题,12,管理,56.16261556803003
2,3,统计报表与业务支持主题,13,生产,54.070212614279
2,3,统计报表与业务支持主题,14,金融,53.86567381091475
2,3,统计报表与业务支持主题,15,节日,53.330459441252465
3,4,数据建模与运营决策主题,1,业务,1466.4258619864233
3,4,数据建模与运营决策主题,2,数据分析,1190.2206064899906
3,4,数据建模与运营决策主题,3,优化,546.0949027113852
3,4,数据建模与运营决策主题,4,运营,433.3469307553965
3,4,数据建模与运营决策主题,5,sql,376.2198724835594
3,4,数据建模与运营决策主题,6,决策,370.25768085875586
3,4,数据建模与运营决策主题,7,模型,352.75594092571674
3,4,数据建模与运营决策主题,8,指标,310.3846927359398
3,4,数据建模与运营决策主题,9,报告,308.46937837790205
3,4,数据建模与运营决策主题,10,统计学,302.59381492541144
3,4,数据建模与运营决策主题,11,python,300.8586957626215
3,4,数据建模与运营决策主题,12,建议,285.8723392340483
3,4,数据建模与运营决策主题,13,推动,259.0041926808206
3,4,数据建模与运营决策主题,14,监控,251.13800451655192
3,4,数据建模与运营决策主题,15,需求,244.22067138071063
4,5,财务经营与预算管理主题,1,财务,290.961646270354
4,5,财务经营与预算管理主题,2,经营,246.89469261951132
4,5,财务经营与预算管理主题,3,管理,185.8963381742425
4,5,财务经营与预算管理主题,4,软件,96.34431730279145
4,5,财务经营与预算管理主题,5,企业,89.36248137038844
4,5,财务经营与预算管理主题,6,资金,83.20310701167969
4,5,财务经营与预算管理主题,7,审计,75.19203198889379
4,5,财务经营与预算管理主题,8,组织,62.238403256155316
4,5,财务经营与预算管理主题,9,计划,61.381587071287
4,5,财务经营与预算管理主题,10,预算,60.16429782737576
4,5,财务经营与预算管理主题,11,分析报告,59.22984975827992
4,5,财务经营与预算管理主题,12,数据分析,55.41210414091278
4,5,财务经营与预算管理主题,13,信息,55.02747061350663
4,5,财务经营与预算管理主题,14,行业,52.506096699877595
4,5,财务经营与预算管理主题,15,项目,51.35901691588692
